#Reads:	7178582
#Bases:	10623825941
#Max:	67547
#Min:	35
#Avg:	1479.9
#Median:	1290
#Mode:	1170
#Std_Dev:	1006.4
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
30	50647	0.706%	7178582	100.000%	1848465	0.017%	10623825941	100.000%
40	23675	0.330%	7127935	99.294%	1036856	0.010%	10621977476	99.983%
50	20255	0.282%	7104260	98.965%	1110328	0.010%	10620940620	99.973%
60	33288	0.464%	7084005	98.683%	2157517	0.020%	10619830292	99.962%
70	27728	0.386%	7050717	98.219%	2051607	0.019%	10617672775	99.942%
80	16848	0.235%	7022989	97.833%	1419180	0.013%	10615621168	99.923%
90	13416	0.187%	7006141	97.598%	1266691	0.012%	10614201988	99.909%
100	12256	0.171%	6992725	97.411%	1279820	0.012%	10612935297	99.897%
110	11172	0.156%	6980469	97.240%	1278580	0.012%	10611655477	99.885%
120	10698	0.149%	6969297	97.085%	1331865	0.013%	10610376897	99.873%
130	11577	0.161%	6958599	96.936%	1558124	0.015%	10609045032	99.861%
140	11659	0.162%	6947022	96.774%	1684322	0.016%	10607486908	99.846%
150	10940	0.152%	6935363	96.612%	1689242	0.016%	10605802586	99.830%
160	10462	0.146%	6924423	96.459%	1720609	0.016%	10604113344	99.814%
170	10331	0.144%	6913961	96.314%	1802684	0.017%	10602392735	99.798%
180	10121	0.141%	6903630	96.170%	1866320	0.018%	10600590051	99.781%
190	9781	0.136%	6893509	96.029%	1902378	0.018%	10598723731	99.764%
200	9758	0.136%	6883728	95.893%	1996314	0.019%	10596821353	99.746%
210	9441	0.132%	6873970	95.757%	2024867	0.019%	10594825039	99.727%
220	9684	0.135%	6864529	95.625%	2173918	0.020%	10592800172	99.708%
230	9337	0.130%	6854845	95.490%	2189671	0.021%	10590626254	99.687%
240	9398	0.131%	6845508	95.360%	2297662	0.022%	10588436583	99.667%
250	9210	0.128%	6836110	95.229%	2343680	0.022%	10586138921	99.645%
260	9363	0.130%	6826900	95.101%	2476479	0.023%	10583795241	99.623%
270	9175	0.128%	6817537	94.971%	2518152	0.024%	10581318762	99.600%
280	9066	0.126%	6808362	94.843%	2579660	0.024%	10578800610	99.576%
290	9016	0.126%	6799296	94.716%	2654929	0.025%	10576220950	99.552%
300	8961	0.125%	6790280	94.591%	2728051	0.026%	10573566021	99.527%
310	8937	0.124%	6781319	94.466%	2810588	0.026%	10570837970	99.501%
320	8964	0.125%	6772382	94.342%	2908856	0.027%	10568027382	99.475%
330	8883	0.124%	6763418	94.217%	2971889	0.028%	10565118526	99.447%
340	8850	0.123%	6754535	94.093%	3048719	0.029%	10562146637	99.419%
350	8993	0.125%	6745685	93.970%	3187588	0.030%	10559097918	99.391%
360	8876	0.124%	6736692	93.844%	3235074	0.030%	10555910330	99.361%
370	9003	0.125%	6727816	93.721%	3372003	0.032%	10552675256	99.330%
380	8937	0.124%	6718813	93.595%	3436244	0.032%	10549303253	99.299%
390	9008	0.125%	6709876	93.471%	3553509	0.033%	10545867009	99.266%
400	9008	0.125%	6700868	93.345%	3643698	0.034%	10542313500	99.233%
410	8828	0.123%	6691860	93.220%	3659255	0.034%	10538669802	99.198%
420	8955	0.125%	6683032	93.097%	3801237	0.036%	10535010547	99.164%
430	8973	0.125%	6674077	92.972%	3898185	0.037%	10531209310	99.128%
440	9013	0.126%	6665104	92.847%	4006449	0.038%	10527311125	99.092%
450	9059	0.126%	6656091	92.722%	4117293	0.039%	10523304676	99.054%
460	8918	0.124%	6647032	92.595%	4142442	0.039%	10519187383	99.015%
470	9049	0.126%	6638114	92.471%	4293349	0.040%	10515044941	98.976%
480	9090	0.127%	6629065	92.345%	4404022	0.041%	10510751592	98.936%
490	9372	0.131%	6619975	92.218%	4635006	0.044%	10506347570	98.894%
500	9176	0.128%	6610603	92.088%	4629129	0.044%	10501712564	98.851%
510	9333	0.130%	6601427	91.960%	4801703	0.045%	10497083435	98.807%
520	9402	0.131%	6592094	91.830%	4931360	0.046%	10492281732	98.762%
530	9683	0.135%	6582692	91.699%	5175138	0.049%	10487350372	98.715%
540	9702	0.135%	6573009	91.564%	5283090	0.050%	10482175234	98.667%
550	9973	0.139%	6563307	91.429%	5530114	0.052%	10476892144	98.617%
560	10077	0.140%	6553334	91.290%	5688528	0.054%	10471362030	98.565%
570	10096	0.141%	6543257	91.150%	5799950	0.055%	10465673502	98.511%
580	10022	0.140%	6533161	91.009%	5858525	0.055%	10459873552	98.457%
590	10493	0.146%	6523139	90.869%	6238067	0.059%	10454015027	98.402%
600	10415	0.145%	6512646	90.723%	6295855	0.059%	10447776960	98.343%
610	10806	0.151%	6502231	90.578%	6640877	0.063%	10441481105	98.284%
620	11126	0.155%	6491425	90.428%	6948619	0.065%	10434840228	98.221%
630	11415	0.159%	6480299	90.273%	7243089	0.068%	10427891609	98.156%
640	11641	0.162%	6468884	90.114%	7501891	0.071%	10420648520	98.088%
650	11984	0.167%	6457243	89.952%	7843923	0.074%	10413146629	98.017%
660	12251	0.171%	6445259	89.785%	8140746	0.077%	10405302706	97.943%
670	12571	0.175%	6433008	89.614%	8479557	0.080%	10397161960	97.866%
680	12888	0.180%	6420437	89.439%	8822169	0.083%	10388682403	97.787%
690	13345	0.186%	6407549	89.259%	9268216	0.087%	10379860234	97.704%
700	13864	0.193%	6394204	89.073%	9767199	0.092%	10370592018	97.616%
710	14621	0.204%	6380340	88.880%	10447669	0.098%	10360824819	97.524%
720	14880	0.207%	6365719	88.677%	10781634	0.101%	10350377150	97.426%
730	15670	0.218%	6350839	88.469%	11510075	0.108%	10339595516	97.325%
740	16537	0.230%	6335169	88.251%	12312244	0.116%	10328085441	97.216%
750	17339	0.242%	6318632	88.021%	13083026	0.123%	10315773197	97.100%
760	18156	0.253%	6301293	87.779%	13880718	0.131%	10302690171	96.977%
770	18591	0.259%	6283137	87.526%	14398680	0.136%	10288809453	96.847%
780	20014	0.279%	6264546	87.267%	15701518	0.148%	10274410773	96.711%
790	21269	0.296%	6244532	86.988%	16898810	0.159%	10258709255	96.563%
800	22273	0.310%	6223263	86.692%	17919833	0.169%	10241810445	96.404%
810	23498	0.327%	6200990	86.382%	19140882	0.180%	10223890612	96.235%
820	24730	0.344%	6177492	86.054%	20392219	0.192%	10204749730	96.055%
830	26489	0.369%	6152762	85.710%	22106094	0.208%	10184357511	95.863%
840	28046	0.391%	6126273	85.341%	23685755	0.223%	10162251417	95.655%
850	29752	0.414%	6098227	84.950%	25424476	0.239%	10138565662	95.432%
860	31141	0.434%	6068475	84.536%	26921841	0.253%	10113141186	95.193%
870	32982	0.459%	6037334	84.102%	28844760	0.272%	10086219345	94.940%
880	34667	0.483%	6004352	83.643%	30664977	0.289%	10057374585	94.668%
890	36540	0.509%	5969685	83.160%	32686330	0.308%	10026709608	94.379%
900	38179	0.532%	5933145	82.651%	34534673	0.325%	9994023278	94.072%
910	39929	0.556%	5894966	82.119%	36515930	0.344%	9959488605	93.747%
920	42012	0.585%	5855037	81.563%	38841273	0.366%	9922972675	93.403%
930	43051	0.600%	5813025	80.977%	40231972	0.379%	9884131402	93.037%
940	45185	0.629%	5769974	80.378%	42677826	0.402%	9843899430	92.659%
950	46470	0.647%	5724789	79.748%	44356290	0.418%	9801221604	92.257%
960	47948	0.668%	5678319	79.101%	46247375	0.435%	9756865314	91.839%
970	49133	0.684%	5630371	78.433%	47881746	0.451%	9710617939	91.404%
980	51147	0.712%	5581238	77.748%	50357333	0.474%	9662736193	90.953%
990	53030	0.739%	5530091	77.036%	52741701	0.496%	9612378860	90.479%
1000	54272	0.756%	5477061	76.297%	54519196	0.513%	9559637159	89.983%
1010	55465	0.773%	5422789	75.541%	56270831	0.530%	9505117963	89.470%
1020	56853	0.792%	5367324	74.769%	58246827	0.548%	9448847132	88.940%
1030	58746	0.818%	5310471	73.977%	60774319	0.572%	9390600305	88.392%
1040	59429	0.828%	5251725	73.158%	62075367	0.584%	9329825986	87.820%
1050	61081	0.851%	5192296	72.330%	64410071	0.606%	9267750619	87.236%
1060	61879	0.862%	5131215	71.480%	65871827	0.620%	9203340548	86.629%
1070	62186	0.866%	5069336	70.618%	66820290	0.629%	9137468721	86.009%
1080	63541	0.885%	5007150	69.751%	68911716	0.649%	9070648431	85.380%
1090	64213	0.895%	4943609	68.866%	70281829	0.662%	9001736715	84.732%
1100	64941	0.905%	4879396	67.972%	71727517	0.675%	8931454886	84.070%
1110	65520	0.913%	4814455	67.067%	73021571	0.687%	8859727369	83.395%
1120	65894	0.918%	4748935	66.154%	74099650	0.697%	8786705798	82.708%
1130	65408	0.911%	4683041	65.236%	74205969	0.698%	8712606148	82.010%
1140	66320	0.924%	4617633	64.325%	75903468	0.714%	8638400179	81.312%
1150	65998	0.919%	4551313	63.401%	76193743	0.717%	8562496711	80.597%
1160	65907	0.918%	4485315	62.482%	76748283	0.722%	8486302968	79.880%
1170	66416	0.925%	4419408	61.564%	78004781	0.734%	8409554685	79.157%
1180	65731	0.916%	4352992	60.639%	77857339	0.733%	8331549904	78.423%
1190	65921	0.918%	4287261	59.723%	78742131	0.741%	8253692565	77.690%
1200	65853	0.917%	4221340	58.805%	79318532	0.747%	8174950434	76.949%
1210	65429	0.911%	4155487	57.887%	79462679	0.748%	8095631902	76.203%
1220	65627	0.914%	4090058	56.976%	80359817	0.756%	8016169223	75.455%
1230	64744	0.902%	4024431	56.062%	79925887	0.752%	7935809406	74.698%
1240	63777	0.888%	3959687	55.160%	79369815	0.747%	7855883519	73.946%
1250	63860	0.890%	3895910	54.271%	80110488	0.754%	7776513704	73.199%
1260	62899	0.876%	3832050	53.382%	79535292	0.749%	7696403216	72.445%
1270	61934	0.863%	3769151	52.506%	78933749	0.743%	7616867924	71.696%
1280	61745	0.860%	3707217	51.643%	79310263	0.747%	7537934175	70.953%
1290	60817	0.847%	3645472	50.783%	78726952	0.741%	7458623912	70.207%
1300	59863	0.834%	3584655	49.935%	78091600	0.735%	7379896960	69.466%
1310	58954	0.821%	3524792	49.102%	77493349	0.729%	7301805360	68.730%
1320	57883	0.806%	3465838	48.280%	76665443	0.722%	7224312011	68.001%
1330	57255	0.798%	3407955	47.474%	76406460	0.719%	7147646568	67.279%
1340	56121	0.782%	3350700	46.676%	75453804	0.710%	7071240108	66.560%
1350	55413	0.772%	3294579	45.895%	75056623	0.706%	6995786304	65.850%
1360	54623	0.761%	3239166	45.123%	74533029	0.702%	6920729681	65.143%
1370	53376	0.744%	3184543	44.362%	73363985	0.691%	6846196652	64.442%
1380	52738	0.735%	3131167	43.618%	73015971	0.687%	6772832667	63.751%
1390	51272	0.714%	3078429	42.884%	71496980	0.673%	6699816696	63.064%
1400	50309	0.701%	3027157	42.169%	70658518	0.665%	6628319716	62.391%
1410	49355	0.688%	2976848	41.468%	69811155	0.657%	6557661198	61.726%
1420	48328	0.673%	2927493	40.781%	68843491	0.648%	6487850043	61.069%
1430	47276	0.659%	2879165	40.108%	67817083	0.638%	6419006552	60.421%
1440	46376	0.646%	2831889	39.449%	66989364	0.631%	6351189469	59.783%
1450	45787	0.638%	2785513	38.803%	66596491	0.627%	6284200105	59.152%
1460	45053	0.628%	2739726	38.165%	65978459	0.621%	6217603614	58.525%
1470	43808	0.610%	2694673	37.538%	64593420	0.608%	6151625155	57.904%
1480	42938	0.598%	2650865	36.927%	63741331	0.600%	6087031735	57.296%
1490	42256	0.589%	2607927	36.329%	63151983	0.594%	6023290404	56.696%
1500	41365	0.576%	2565671	35.741%	62232372	0.586%	5960138421	56.102%
1510	40135	0.559%	2524306	35.164%	60783518	0.572%	5897906049	55.516%
1520	39510	0.550%	2484171	34.605%	60232652	0.567%	5837122531	54.944%
1530	38510	0.536%	2444661	34.055%	59093643	0.556%	5776889879	54.377%
1540	38102	0.531%	2406151	33.518%	58847672	0.554%	5717796236	53.820%
1550	37491	0.522%	2368049	32.988%	58277971	0.549%	5658948564	53.267%
1560	36695	0.511%	2330558	32.465%	57409162	0.540%	5600670593	52.718%
1570	36115	0.503%	2293863	31.954%	56862552	0.535%	5543261431	52.178%
1580	35216	0.491%	2257748	31.451%	55799194	0.525%	5486398879	51.642%
1590	34645	0.483%	2222532	30.961%	55241122	0.520%	5430599685	51.117%
1600	33491	0.467%	2187887	30.478%	53735069	0.506%	5375358563	50.597%
1610	33063	0.461%	2154396	30.011%	53379121	0.502%	5321623494	50.091%
1620	32416	0.452%	2121333	29.551%	52659460	0.496%	5268244373	49.589%
1630	31414	0.438%	2088917	29.099%	51345426	0.483%	5215584913	49.093%
1640	30826	0.429%	2057503	28.662%	50692737	0.477%	5164239487	48.610%
1650	30168	0.420%	2026677	28.232%	49912542	0.470%	5113546750	48.133%
