sample	genome	coverage	relative abundance	iRep	un-filtered iRep	raw iRep (no GC bias correction)	r^2	% windows	GC bias	GC r^2	day	treatment	bird	day_num
d78sub195	bin.372	42.13152332108948	4.758673272868621	1.472770018714817	1.472770018714817	1.476035657369803	0.9939730003046345	100	-0.03400225564622646	0.0026042924212272833	78	sub	195	78
d78sub200	bin.372	18.320175995872514	2.581571270432622	1.3758811980919665	1.3758811980919665	1.4775483423683922	0.9904347941361733	100	-30.88733322139864	0.39572230407931086	78	sub	200	78
d78sub196	bin.372	10.15876109840522	0.7467690426013653	1.377008507483819	1.377008507483819	1.4059303183760614	0.9867329261506604	100	-2.718581852833637	0.12928771391242813	78	sub	196	78
d78ctrl189	bin.372	17.727581799000475	2.3670075308001906	1.3795223102971943	1.3795223102971943	1.3874550260203957	0.9934570546531356	100	-1.1949433288800113	0.053760218040422976	78	ctrl	189	78
d78ctrl181	bin.372	10.298789667413619	0.5423282681949517	1.527963951476491	1.527963951476491	1.5314381289772618	0.9931272966753473	100	-0.22367555588133908	0.0210537970203345	78	ctrl	181	78
d78ctrl188	bin.372	20.747659035430186	1.0990561787375062	1.3256104558215966	1.3256104558215966	1.356111408272452	0.9918091389401191	100	-4.587218876599119	0.12671310852380524	78	ctrl	188	78
d07ctrl039	bin.1044	11.509937152943417	1.614189388360078	2.0522396006166583	2.0522396006166583	2.139602007279037	0.9504439933186667	99.23	-0.32191160715504785	0.022862331998165564	07	ctrl	039	7
d35ctrl092	bin.1044	24.064000610973473	4.3693690210637	1.851756930166934	1.851756930166934	1.9167486627695278	0.9680643853388867	98.61	-0.689153025757745	0.025471512465301223	35	ctrl	092	35
d78ther204	bin.1044	5.871842045119708	0.609799753889057	2.263756419659243	2.263756419659243	2.3497973354949035	0.9371503240451523	99.46000000000001	-0.09813833666079413	0.015377498302612258	78	ther	204	78
d07ctrl036	bin.1044	16.03184357255338	2.4149792057861554	1.8847651890221317	1.8847651890221317	1.931993648680102	0.9642042512322166	99.59	-0.4714918318755848	0.025859890342963987	07	ctrl	036	7
d35sub106	bin.1044	29.30685515654201	6.7005290260937596	2.220601619636851	2.220601619636851	2.2741455637873047	0.9407712384251543	95.52	-1.0735038336176331e-4	5.200519494374946e-5	35	sub	106	35
d35sub109	bin.1044	5.742713485928518	0.6585260040416827	2.1113316772293143	2.1113316772293143	2.325903096519954	0.9674534663263836	99.33	-3.4041378371442326	0.1642228529310733	35	sub	109	35
d35ctrl093	bin.1044	25.791850685378872	4.265648630490269	1.7873470470980706	1.7873470470980706	1.8325155416307188	0.9688774983744622	98.22	-0.30959385858418553	0.01495140289925967	35	ctrl	093	35
d35sub102	bin.1044	5.759780277525579	0.42653184485518936	2.0563953736166947	2.0563953736166947	2.226893241073899	0.9367303426115275	98.1	-1.474849985812227	0.09727392564514159	35	sub	102	35
d35ctrl094	bin.1044	62.73621961304634	12.750742397650505	1.7988376518499338	1.7988376518499338	1.8961274826736956	0.9659802479154534	98.57	-9.61814189732775	0.07810619615985205	35	ctrl	094	35
d07ctrl037	bin.1044	33.38108387377698	7.52316295810374	1.986987511498082	1.986987511498082	2.0304404328556265	0.9672841499419259	99.86999999999999	-0.0015533902690442478	3.3055725261710295e-4	07	ctrl	037	7
d07ctrl031	bin.1044	52.15921501307722	4.0963766669847965	2.565085942082713	2.565085942082713	2.6559269656557865	0.9782832073426156	98.26	-0.20347424476957598	0.005368355696499072	07	ctrl	031	7
