
Bin_Id	Marker_lineage	#_genomes	#_markers	#_marker_sets	0	1	2	3	4	5+	Completeness	Contamination	Strain_heterogeneity

bin.497_new	p__Actinobacteria_(UID2112)	31	211	124	0	208	3	0	0	0	100.00	0.81	0.00
bin.203_new	o__Clostridiales_(UID1212)	172	263	149	0	263	0	0	0	0	100.00	0.00	0.00
bin.105_new	o__Clostridiales_(UID1212)	172	263	149	0	260	3	0	0	0	100.00	1.23	0.00
bin.642_new	o__Lactobacillales_(UID374)	471	350	191	1	346	3	0	0	0	99.48	0.83	66.67
bin.529_new	o__Clostridiales_(UID1226)	155	274	157	1	272	1	0	0	0	99.36	0.64	100.00
bin.966_new	o__Clostridiales_(UID1226)	155	278	158	2	276	0	0	0	0	99.21	0.00	0.00
bin.776_new	c__Clostridia_(UID1118)	387	223	124	1	221	1	0	0	0	99.19	0.81	0.00
bin.809_new	k__Bacteria_(UID2372)	131	177	106	1	175	1	0	0	0	99.06	0.94	0.00
bin.799_new	k__Bacteria_(UID2372)	131	177	106	2	175	0	0	0	0	99.06	0.00	0.00
bin.954_new	o__Clostridiales_(UID1226)	155	278	158	4	272	2	0	0	0	98.93	0.76	0.00
bin.887_new	k__Bacteria_(UID2329)	174	149	89	1	148	0	0	0	0	98.88	0.00	0.00
bin.849_new	f__Lachnospiraceae_(UID1255)	90	354	174	2	351	1	0	0	0	98.85	0.29	0.00
bin.45_new	o__Clostridiales_(UID1226)	155	278	158	2	276	0	0	0	0	98.73	0.00	0.00
bin.1016_new	o__Clostridiales_(UID1226)	155	278	158	2	274	2	0	0	0	98.73	1.27	100.00
bin.967_new	o__Clostridiales_(UID1212)	172	263	149	2	261	0	0	0	0	98.66	0.00	0.00
bin.490_new	o__Clostridiales_(UID1212)	172	263	149	2	261	0	0	0	0	98.66	0.00	0.00
bin.1007_new	o__Clostridiales_(UID1212)	172	263	149	2	261	0	0	0	0	98.66	0.00	0.00
bin.318_new	o__Bacteroidales_(UID2654)	163	486	266	4	480	2	0	0	0	98.50	0.50	0.00
bin.550_new	o__Clostridiales_(UID1212)	172	263	149	4	259	0	0	0	0	98.43	0.00	0.00
bin.202_new	p__Actinobacteria_(UID2112)	31	211	124	2	208	1	0	0	0	98.39	0.81	0.00
bin.906_new	o__Clostridiales_(UID1212)	172	263	149	3	258	2	0	0	0	98.32	1.01	0.00
bin.902_new	c__Bacilli_(UID253)	813	261	145	3	257	1	0	0	0	98.28	0.23	0.00
bin.547_new	o__Lactobacillales_(UID543)	294	472	265	10	457	5	0	0	0	98.11	0.85	20.00
bin.522_new	k__Bacteria_(UID2372)	131	177	106	2	175	0	0	0	0	98.11	0.00	0.00
bin.718_new	o__Lactobacillales_(UID374)	471	350	191	38	309	3	0	0	0	98.02	1.57	0.00
bin.820_new	o__Clostridiales_(UID1212)	172	257	149	3	254	0	0	0	0	97.99	0.00	0.00
bin.392_new	k__Bacteria_(UID2982)	88	229	147	3	226	0	0	0	0	97.96	0.00	0.00
bin.503_new	o__Lactobacillales_(UID355)	490	334	183	4	330	0	0	0	0	97.81	0.00	0.00
bin.772_new	f__Lachnospiraceae_(UID1255)	90	354	174	8	343	3	0	0	0	97.70	1.34	33.33
bin.994_new	p__Actinobacteria_(UID2112)	31	211	124	3	208	0	0	0	0	97.58	0.00	0.00
bin.405_new	o__Lactobacillales_(UID374)	471	350	191	7	341	2	0	0	0	97.54	1.05	0.00
bin.476_new	o__Clostridiales_(UID1226)	155	278	158	8	270	0	0	0	0	97.47	0.00	0.00
