--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                Marker lineage             # genomes   # markers   # marker sets    0     1    2    3    4    5+   Completeness   Contamination   Strain heterogeneity  
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  bin.959        p__Actinobacteria (UID2112)           31         211           124         0    168   43   0    0    0       100.00          16.13              11.63          
  bin.886           k__Bacteria (UID2372)             131         177           106         0    176   1    0    0    0       100.00           0.94              100.00         
  bin.503        o__Lactobacillales (UID355)          490         334           183         0    334   0    0    0    0       100.00           0.00               0.00          
  bin.497        p__Actinobacteria (UID2112)           31         211           124         0    208   3    0    0    0       100.00           0.81               0.00          
  bin.203         o__Clostridiales (UID1212)          172         263           149         0    258   5    0    0    0       100.00           0.10               0.00          
  bin.105         o__Clostridiales (UID1212)          172         263           149         0    260   3    0    0    0       100.00           1.23               0.00          
  bin.642        o__Lactobacillales (UID374)          471         350           191         1    346   3    0    0    0       99.48            0.83              66.67          
  bin.45          o__Clostridiales (UID1226)          155         278           158         1    277   0    0    0    0       99.37            0.00               0.00          
  bin.529         o__Clostridiales (UID1226)          155         274           157         1    272   1    0    0    0       99.36            0.64              100.00         
  bin.490         o__Clostridiales (UID1212)          172         263           149         1    262   0    0    0    0       99.33            0.00               0.00          
  bin.966         o__Clostridiales (UID1226)          155         278           158         2    276   0    0    0    0       99.21            0.00               0.00          
  bin.776          c__Clostridia (UID1118)            387         223           124         1    221   1    0    0    0       99.19            0.81               0.00          
  bin.809           k__Bacteria (UID2372)             131         177           106         1    175   1    0    0    0       99.06            0.94               0.00          
  bin.799           k__Bacteria (UID2372)             131         177           106         2    174   1    0    0    0       99.06            0.47               0.00          
  bin.522           k__Bacteria (UID2372)             131         177           106         1    176   0    0    0    0       99.06            0.00               0.00          
  bin.459         o__Clostridiales (UID1226)          155         278           158         4    273   1    0    0    0       98.94            0.16               0.00          
  bin.954         o__Clostridiales (UID1226)          155         278           158         4    272   2    0    0    0       98.93            0.76               0.00          
  bin.887           k__Bacteria (UID2329)             174         149            89         1    147   1    0    0    0       98.88            0.56               0.00          
  bin.849        f__Lachnospiraceae (UID1255)          90         354           174         2    351   1    0    0    0       98.85            0.29               0.00          
  bin.476         o__Clostridiales (UID1226)          155         278           158         3    274   1    0    0    0       98.73            0.63               0.00          
  bin.1016        o__Clostridiales (UID1226)          155         278           158         2    273   3    0    0    0       98.73            1.90              100.00         
  bin.967         o__Clostridiales (UID1212)          172         263           149         2    261   0    0    0    0       98.66            0.00               0.00          
  bin.820         o__Clostridiales (UID1212)          172         257           149         2    255   0    0    0    0       98.66            0.00               0.00          
  bin.1007        o__Clostridiales (UID1212)          172         263           149         2    261   0    0    0    0       98.66            0.00               0.00          
  bin.775         o__Clostridiales (UID1212)          172         261           147         6    249   6    0    0    0       98.60            3.40              66.67          
  bin.930         o__Clostridiales (UID1226)          155         278           158         11   262   5    0    0    0       98.56            1.14              80.00          
  bin.318         o__Bacteroidales (UID2654)          163         486           266         4    480   2    0    0    0       98.50            0.50               0.00          
  bin.550         o__Clostridiales (UID1212)          172         263           149         4    259   0    0    0    0       98.43            0.00               0.00          
  bin.190         o__Clostridiales (UID1212)          172         263           149         4    258   1    0    0    0       98.39            0.06              100.00         
  bin.202        p__Actinobacteria (UID2112)           31         211           124         2    207   2    0    0    0       98.39            1.61              50.00          
  bin.906         o__Clostridiales (UID1212)          172         263           149         3    258   2    0    0    0       98.32            1.01               0.00          
  bin.902            c__Bacilli (UID253)              813         261           145         3    257   1    0    0    0       98.28            0.23               0.00          
  bin.772        f__Lachnospiraceae (UID1255)          90         354           174         4    347   3    0    0    0       98.28            1.34              33.33          
  bin.570            k__Bacteria (UID203)             5449        100            55         1     21   30   23   18   7       98.18           138.53              8.57          
  bin.547        o__Lactobacillales (UID543)          294         472           265         10   457   5    0    0    0       98.11            0.85              20.00          
  bin.718        o__Lactobacillales (UID374)          471         350           191         38   309   3    0    0    0       98.02            1.57               0.00          
  bin.916         o__Clostridiales (UID1212)          172         263           149         3    259   1    0    0    0       97.99            0.67               0.00          
  bin.568         o__Clostridiales (UID1212)          172         263           149         3    256   4    0    0    0       97.99            1.57              75.00          
  bin.564         o__Clostridiales (UID1212)          172         263           149         4    259   0    0    0    0       97.99            0.00               0.00          
  bin.392           k__Bacteria (UID2982)              88         229           147         3    226   0    0    0    0       97.96            0.00               0.00          
  bin.782         o__Clostridiales (UID1212)          172         263           149         6    256   1    0    0    0       97.94            0.67               0.00          
  bin.505         o__Clostridiales (UID1226)          155         278           158         19   236   21   2    0    0       97.88           10.13              62.96          
  bin.450         o__Clostridiales (UID1226)          155         278           158         6    263   9    0    0    0       97.78            5.27              11.11          
  bin.283         o__Clostridiales (UID1212)          172         263           149         4    240   19   0    0    0       97.65            1.18              78.95          
  bin.994        p__Actinobacteria (UID2112)           31         211           124         3    208   0    0    0    0       97.58            0.00               0.00          
  bin.769        p__Actinobacteria (UID2112)           31         211           124         5    206   0    0    0    0       97.58            0.00               0.00          
  bin.1003        o__Clostridiales (UID1226)          155         278           158         5    267   6    0    0    0       97.57            3.16              50.00          
  bin.405        o__Lactobacillales (UID374)          471         350           191         7    341   2    0    0    0       97.54            1.05               0.00          
  bin.133        f__Lachnospiraceae (UID1256)          33         333           171         6    325   2    0    0    0       97.45            0.88               0.00          
  bin.875         o__Clostridiales (UID1212)          172         263           149         4    258   1    0    0    0       97.32            0.22              100.00         
  bin.673         o__Clostridiales (UID1212)          172         263           149         5    257   1    0    0    0       97.32            0.67               0.00          
  bin.55          o__Clostridiales (UID1212)          172         263           149         4    259   0    0    0    0       97.32            0.00               0.00          
  bin.419         o__Clostridiales (UID1212)          172         263           149         4    259   0    0    0    0       97.32            0.00               0.00          
  bin.742         o__Clostridiales (UID1212)          172         263           149         6    255   2    0    0    0       97.29            0.89              50.00          
  bin.371         o__Clostridiales (UID1212)          172         257           149         7    247   3    0    0    0       97.18            0.78              100.00         
  bin.922        o__Lactobacillales (UID544)          293         475           267         13   457   5    0    0    0       97.13            1.03              20.00          
  bin.590         o__Clostridiales (UID1212)          172         263           149         10   233   20   0    0    0       97.05            3.15              70.00          
  bin.504           k__Bacteria (UID2372)             131         177           106         4    171   2    0    0    0       97.04            1.08              50.00          
  bin.354        f__Lachnospiraceae (UID1255)          90         354           174         6    347   1    0    0    0       96.84            0.57               0.00          
  bin.516         o__Clostridiales (UID1120)          304         247           141         13   232   2    0    0    0       96.81            1.42               0.00          
  bin.806         o__Clostridiales (UID1226)          155         278           158         37   240   1    0    0    0       96.70            0.16               0.00          
  bin.876        f__Lachnospiraceae (UID1256)          33         333           171         31   302   0    0    0    0       96.69            0.00               0.00          
  bin.996         o__Clostridiales (UID1212)          172         263           149         5    234   24   0    0    0       96.64            6.71              75.00          
  bin.969         o__Clostridiales (UID1212)          172         263           149         16   245   2    0    0    0       96.64            1.34               0.00          
  bin.226         o__Clostridiales (UID1212)          172         263           149         5    256   2    0    0    0       96.64            0.69              50.00          
  bin.147         o__Clostridiales (UID1212)          172         263           149         7    256   0    0    0    0       96.64            0.00               0.00          
  bin.1027        o__Clostridiales (UID1212)          172         257           149         7    248   2    0    0    0       96.62            1.01              50.00          
  bin.485         o__Clostridiales (UID1212)          172         263           149         9    242   12   0    0    0       96.52            5.68              58.33          
  bin.83         p__Actinobacteria (UID2112)           31         211           124         5    204   2    0    0    0       96.51            0.52              100.00         
  bin.379            k__Bacteria (UID203)             5449        103            57         3     24   37   20   13   6       96.49           137.92              5.36          
  bin.975         o__Clostridiales (UID1212)          172         263           149         7    255   1    0    0    0       96.42            0.67               0.00          
  bin.1012        o__Clostridiales (UID1226)          155         278           158         15   261   2    0    0    0       96.42            0.79              100.00         
  bin.822        o__Lactobacillales (UID544)          293         475           267         42   428   5    0    0    0       96.29            0.75              100.00         
  bin.280         o__Clostridiales (UID1226)          155         278           158         10   265   3    0    0    0       96.29            1.90              100.00         
  bin.360         o__Clostridiales (UID1212)          172         263           149         8    255   0    0    0    0       96.29            0.00               0.00          
